<<<<<<< HEAD
0,1,2,3,4,5,6,7
0.17644163688184958,0.0005168318520579488,0.0005597549986912439,4.548644620545911e-06,1.5599694377308678e-10,-1.0001119029350847e-07,1.6835896052403318e-10,bateau
0.17644163688184958,0.0005168318520579488,0.0005597549986912439,4.548644620545911e-06,1.5599694377308678e-10,-1.0001119029350847e-07,1.6835896052403318e-10,bateau
0.21797560952385706,0.011263594340669597,0.004919947283664636,0.0002214267221349702,-2.293427338852195e-07,-2.337951180750847e-05,2.855432796516361e-08,bol
0.3176559527840549,0.05829370250997648,0.004232514291595681,0.0007275248068940709,2.419029093193588e-07,-2.68280281221673e-06,1.253519554637984e-06,chat
0.1718270055183299,0.0011550001596171342,0.00039565943615569373,1.7864393902712755e-06,-4.5884384933959547e-11,-5.878853265737041e-08,1.226170591883952e-11,coeur
0.26149609489559994,0.026322267294741648,0.0027161374010481088,0.0003449202073991953,-1.749519405545178e-08,-2.6920524591244386e-05,-3.3339315490183323e-07,cygne
0.2852943294897359,0.033050996461893224,0.0014447457429560067,0.0005223483457613407,3.8106225222493417e-07,3.8264414435312645e-05,2.463717235213274e-07,lapin
0.2692419317361774,0.007653276556796981,0.014737152553301307,0.0016161320633916272,7.849335366776701e-06,0.0001334522359192623,7.717711020227246e-07,marteau
0.2914293226829003,0.04779568189623061,0.005404776150937848,0.000354752390183768,-4.1544195284619556e-07,-7.028770136675099e-05,-2.621182418369551e-07,montagne
0.36502210843993527,0.08065995033479462,0.009846929485672786,0.0010624032881339394,-3.3849736702329533e-06,-0.0002975047202333607,-5.914007332100767e-07,pont
0.24944761689377032,0.026322948372539536,0.0009162210215039587,0.00042201272201104474,2.5121499895854844e-07,6.842589015071382e-05,-7.584581909573482e-08,tortue
=======
,0,1,2,3,4,5,6,target
0,0.213312728,0.010892043,0.00411573,0.000200805,-1.65E-07,-1.94E-05,7.72E-08,bol
1,0.309859004,0.055036364,0.003651504,0.000574013,1.54E-08,-2.03E-05,8.31E-07,chat
2,0.170486134,0.001056967,0.000372017,1.07E-06,-1.20E-11,-2.44E-08,1.78E-11,coeur
3,0.249075256,0.023305419,0.001678395,0.000238589,5.85E-09,-1.44E-05,-1.51E-07,cygne
4,0.170857776,0.000333061,0.000517285,7.85E-06,4.31E-10,7.58E-08,2.54E-10,maison
5,0.295937156,0.051244262,0.005310281,0.000418482,-2.47E-07,-5.90E-05,-5.73E-07,montagne
6,0.556755819,0.238381025,0.019111387,0.014072685,0.000229124,0.00652044,2.77E-05,renard
7,0.175801657,0.000572328,0.000464362,2.20E-06,2.27E-11,-4.32E-08,-6.64E-11,bateau
8,0.269619037,0.028187495,0.001169735,0.00034071,1.50E-07,1.18E-05,1.55E-07,lapin
9,0.262436906,0.006605161,0.013239188,0.001346363,5.67E-06,0.000103422,4.61E-07,marteau
10,0.351080088,0.073801886,0.008131874,0.000865374,-2.30E-06,-0.000235038,1.86E-08,pont
11,0.243004288,0.024361213,0.000784435,0.000329327,1.61E-07,5.14E-05,-4.59E-08,tortue
>>>>>>> edcde1ada8338ed8e11c11e282ed9f95f62a587c
